Unnamed: 0,cover_id,title,author,year,genre,genre_alts,pixel_count,mean_brightness,mean_hue,mean_saturation,entropy
257,5010523,DiscoveryWorks,William Badders,,Science,"['Science', 'Study and teaching']",21248,0.8013928877273802,0.27007836248732076,0.6823146526722704,123102.38476557506
328,7225312,Chemicals of Life,Isaac Asimov,,Science,"['organic chemistry', 'Biology', 'Biochemistry', 'Science', 'Accessible book', 'Biological chemistry', 'Bio-chemistry', 'Protected DAISY', 'Physiological Chemistry', 'Chemistry']",139000,0.3036834532374101,0.18965993376149293,0.7168363178274161,619915.7883917417
375,28269,The Curious Life of Robert Hooke,Lisa Jardine,,Science,"['History', 'Science', 'Accessible book', 'Protected DAISY', 'Architects', 'Scientists', 'Inventors', 'Scholars', 'Biography', 'Hooke, Robert, 1635-1703']",150575,0.3214810676719633,0.1340426471883303,0.22506168251850417,573382.4546171469
96,310408,"One, two, three ... infinity",George Gamow,,Science,"['Science', 'Accessible book', 'physics', 'Protected DAISY', 'mathematics', 'Popular works']",141550,0.46813137462685533,0.5030235845140268,0.7350623069528553,514384.933284565
136,1173785,How to Write and Publish a Scientific Paper,Robert A. Day,,Science,"['Wetenschappelijke publicaties', 'Protected DAISY', 'Publishing', 'Sciences', 'Science', 'Accessible book', 'Documentation', 'Arte de escribir', 'Writing', 'Uitgeven', 'Wissenschaftliches Manuskript', 'Technical writing', 'Authorship', 'Re daction technique', 'Escritura']",151500,0.41718954248366025,0.4566122631886797,0.5766218271853624,679999.039310362
16,5584499,Novum organum,Francis Bacon,,Science,"['Philosophy', 'Heat', 'Science', 'Accessible book', 'Induction (Logic)', 'Early works to 1800', 'Motion', 'Methodology', 'English Philosophy', 'Logic', 'Winds', 'Physics', 'Social sciences', 'Methology']",174500,0.9643909882577674,0.15470183196526638,0.18855192281717947,285564.95277476334
82,4636612,Science and Human Values,Jacob Bronowski,,Science,"['Science', 'Accessible book', 'Addresses, essays, lectures', 'Protected DAISY', 'Social Values', 'Popular works']",24448,0.36761834642233865,0.521768547339345,0.19402993168191643,130422.90894481126
279,8364683,The world of carbon,Isaac Asimov,,Science,"['Organic Chemistry', 'Science', 'Accessible book', 'Protected DAISY', 'Carbon', 'Chemistry']",143500,0.46056771196283397,0.15013811829401447,0.4205599327133413,706173.5599896369
271,6566386,The structure of scientific revolutions,Thomas S. Kuhn,,Science,"['Accessible book', 'PHILOSOPHY', 'Sciences', 'Progress', 'Ciencia', 'Filosofia da ciência', 'Philosophy', 'Découvertes scientifiques', 'Prográes', 'SCIENCE', 'Long Now Manual for Civilization', 'Progrès', 'HISTORY', 'Philosophie', 'Série Ciência história', 'Science', 'Paradigm (Theory of knowledge)', 'open_syllabus_project', 'Wetenschapsdynamica', 'Sâerie Ciãencia histâor', 'History', 'História da ciência', 'Historia Da Ciencia', 'Histoire', 'Protected DAISY']",166000,0.4413808410111032,0.24261003775521608,0.7868176364058442,581840.3733939665
265,1280704,Guide to modern thought,"Joad, C. E. M.",,Science,"['Science', 'Accessible book', 'Philosophy', 'Protected DAISY']",166500,0.9742430430430432,0.07347103402149445,0.24326320331341902,181747.87557886454
206,4127489,The developing human,Keith L. Moore,,Science,"['Protected DAISY', 'Human Abnormalities', 'Embryology, Human', 'Embryologie humaine', 'Life Sciences - Biology - General', 'Science', 'Accessible book', 'Malformations', 'Embryologie', 'Ontwikkelingsbiologie', 'Medical / Nursing', 'Growth', 'Fetus', 'Embryology,Human', 'Abnormalities, Human', 'Human Embryology', 'Science/Mathematics', 'Embryology', 'Medical / Embryology']",20608,0.9396881850566313,0.0,0.0,37331.546382809516
342,5609912,Scientific method,F. W. Westaway,,Science,"['Science', 'Accessible book', 'Study and teaching', 'Methodology', 'Scientists']",149000,0.9444922489801288,0.11982899134049212,0.1780612506187294,575497.604301983
327,8340022,DiscoveryWorks,Silver Burdett & Ginn (Firm),,Science,"['Textbooks', 'Science', 'Accessible book', 'Protected DAISY', 'Study and teaching (Elementary)']",180000,0.5715045533769063,0.3607362399490598,0.21238409227501073,813240.3226358545
