Unnamed: 0,cover_id,title,author,year,genre,genre_alts,pixel_count,mean_brightness,mean_hue,mean_saturation,entropy,Best Match
36,5914638,Philosophical essays,Bertrand Russell,,Science,"['Science', 'Addresses, essays, lectures', 'Philosophy', 'Accessible book', 'Mathematics']",150500,0.9597893817992312,0.14465621145327154,0.20329686249926865,1.8110021140975388,6238696
275,9041714,A short history of nearly everything,Bill Bryson,,Science,"['Obras de divulgacio n.', 'Humor', 'Travel', 'Sciences', 'Human beings', 'Ciencia', 'Life', 'Natuurwetenschappen', 'Philosophy', 'Open Library Staff Picks', 'Ouvrages de vulgarisation', 'Popular works', 'Accessible book', 'Science', 'Long Now Manual for Civilization', 'Popular Works', 'Wetenschapsbeoefening', 'Origin', 'Culture', 'Nonfiction', 'Protected DAISY', 'Reading Level-Grade 11', 'Reading Level-Grade 12', 'popular science']",164500,0.3511216639847428,0.6653456563052639,0.2889327735232023,3.8276063912330094,528671
178,2752324,Scientific lectures and essays,Charles Kingsley,,Science,"['Science', 'Accessible book', 'Popular works', 'Geology']",166500,0.3505570040628865,0.3448024172636878,0.4438019179658503,3.2370680591679464,1755515
429,5735894,Modern science and modern thought,S. Laing,,Science,"['Religion and science', 'Science', 'Accessible book']",150500,0.9669968861963392,0.12618098167115732,0.17162698645791152,3.3186349125265227,6022430
401,1256750,Quantitative zoology,George Gaylord Simpson,,Science,"['Biology, Life Sciences', 'Science / Biology', 'Biomathematics', 'Life Sciences - Biology - General', 'Science', 'Accessible book', 'Protected DAISY', 'Research & Methodology', 'Life Sciences - Zoology - General', 'Zoology', 'Science/Mathematics']",158000,0.5924273020600646,0.5391938237773922,0.7142978116747866,5.062433850352002,5735894
39,5031535,International Review of Cytology,Kwang W. Jeon,,Science,"['Life Sciences', 'Cytology', 'Cell Biology', 'Cell physiology', 'SCIENCE', 'Cells', 'Genes', 'Periodicals', 'Biology', 'Accessible book']",24576,0.7757448682598042,0.15714056041469368,0.20020838994448628,1.079645739865365,758814
85,3935893,Posterior analytics,Aristotle,,Science,"['Definition (Philosophy)', 'Ancient Logic', 'Definition (Logic)', 'Science', 'Methodology', 'Early works to 1800', 'Knowledge, Theory of', 'Logic', 'Theory of Knowledge']",26112,0.2737311070261438,0.6063558663412207,0.3353446722444708,4.6228243441094765,6555691
77,1258104,The Grammar of Science,"Pearson, Karl",,Science,"['Evolution', 'Science', 'Accessible book', 'Philosophy', 'Biological Evolution', 'Science - Philosophy', 'Natural history', 'Physics', 'Classification of sciences']",153500,0.938587034553235,0.5578564435928614,0.2028437324901222,5.383107827347874,7130742
243,6050736,Transactions of the Kansas Academy of Science (1903),Kansas Academy of Science,,Science,"['Science', 'Accessible book', 'Periodicals']",154500,0.8477869407957357,0.0,0.0,2.8046805552361023,6147576
140,5863619,Critiques and addresses,Thomas Henry Huxley,,Science,"['Science', 'Accessible book']",159000,0.9880416080897768,0.0,0.0,0.5072455774315384,758814
