0,1,2
72,99,111
55,63,19
224,207,168
144,243,240
41,46,50
250,250,208
50,46,47
49,44,23
36,30,22
248,209,70
224,224,224
246,235,205
185,187,184
114,114,103
145,149,137
193,93,99
67,84,93
222,95,42
5,5,37
249,245,199
248,236,198
251,250,202
149,83,71
134,165,219
224,224,224
59,104,114
225,217,184
249,242,199
245,244,242
230,230,230
79,85,140
104,76,76
54,36,25
21,32,72
245,245,244
226,226,226
218,201,160
237,226,207
199,185,151
68,103,167
221,221,221
179,183,178
244,227,198
230,230,230
222,222,222
233,227,189
179,209,165
248,241,208
249,239,194
142,128,91
25,10,43
43,40,40
4,4,4
17,33,66
105,78,68
96,70,49
60,56,46
28,33,49
52,43,47
206,159,150
73,10,16
44,46,28
32,8,7
186,98,95
94,87,66
192,155,115
9,27,41
196,147,75
120,47,48
41,33,29
202,172,170
89,74,77
197,155,65
214,103,35
113,107,121
230,170,98
10,14,12
64,41,30
187,130,58
63,42,50
237,221,184
52,11,8
10,24,40
39,26,26
223,227,191
12,12,11
16,17,22
49,53,49
80,81,56
113,87,59
71,69,57
186,133,142
76,78,81
73,57,69
235,217,243
17,13,12
105,86,90
186,176,171
195,122,165
37,48,56
227,216,185
47,47,47
229,232,208
13,8,8
99,43,34
160,126,76
227,217,179
244,207,74
216,218,207
145,138,132
34,153,147
73,66,67
218,112,98
175,145,161
170,120,47
57,13,31
217,211,179
231,224,180
29,126,89
229,197,159
219,213,202
192,146,121
162,84,98
231,92,23
186,176,161
248,244,201
15,7,6
248,236,189
73,14,8
45,19,143
33,35,41
150,250,219
93,168,65
67,68,76
251,236,180
146,184,217
227,218,169
15,10,9
52,52,52
212,212,212
216,207,169
85,84,83
30,30,30
203,185,153
55,55,55
194,183,166
49,42,37
55,45,29
230,227,131
62,66,63
60,53,41
247,139,194
205,209,193
95,94,100
208,158,121
102,83,58
202,133,144
184,91,93
134,108,84
63,117,158
237,211,151
72,94,63
166,176,130
108,99,78
175,161,112
210,197,167
53,108,73
172,165,134
180,130,106
36,38,28
62,61,73
106,147,136
194,176,150
20,30,29
14,11,8
136,143,49
47,24,8
144,125,81
175,99,120
250,223,24
229,229,227
94,98,71
192,158,105
58,78,115
167,135,87
68,62,63
195,164,120
19,41,40
98,110,98
196,194,189
47,47,34
171,143,121
60,34,94
208,46,21
129,122,110
242,240,242
229,229,229
186,146,86
166,168,151
227,188,147
159,11,10
212,105,36
177,172,130
140,168,173
177,208,213
18,23,22
32,30,34
58,10,17
68,51,44
57,68,77
214,238,228
124,95,163
37,36,11
166,83,42
218,210,202
51,39,30
130,167,202
29,29,23
9,8,8
45,64,69
29,36,48
238,234,216
193,185,175
176,94,96
184,152,124
151,124,78
13,17,12
248,203,33
238,196,156
11,11,11
57,104,85
244,224,192
14,8,9
81,121,204
65,70,59
119,169,90
8,8,9
100,52,74
62,57,52
222,171,49
33,43,40
44,123,157
29,27,31
138,101,35
206,218,169
215,198,148
24,30,42
121,127,110
29,30,26
127,166,184
